,A5001_Db11_4_B
0,49.64876634922564
1,46.647615158762406
2,44.204072210600685
3,33.015148038438355
4,41.048751503547585
5,43.01162633521314
6,46.010868281309364
7,47.4236228055175
8,46.75467891024384
9,44.82186966202994
10,42.638011210655684
11,42.42640687119285
12,40.36087214122113
13,43.41658669218482
14,49.03060268852505
15,40.607881008493905
16,39.824615503479755
17,40.22437072223753
18,37.53664875824692
19,41.23105625617661
20,40.607881008493905
21,40.36087214122113
22,41.048751503547585
23,41.012193308819754
24,41.048751503547585
25,40.8166632639171
26,35.608987629529715
27,35.84689665786984
28,37.21558813185679
29,38.8329756778952
30,38.47076812334269
31,34.9857113690718
32,39.35733730830886
33,39.44616584663204
34,38.8329756778952
35,37.69615364994153
36,40.8166632639171
37,40.8166632639171
38,40.8166632639171
39,41.23105625617661
40,41.23105625617661
41,38.01315561749642
42,59.90826320300064
43,34.88552708502482
44,35.84689665786984
45,40.8166632639171
46,57.97413216254298
47,39.35733730830886
48,40.80441152620633
49,65.96969000988257
50,39.92492955535426
51,39.92492955535426
52,66.21933252457322
53,38.600518131237564
54,37.12142238654117
55,39.35733730830886
56,37.64306044943742
57,37.64306044943742
58,38.600518131237564
59,37.69615364994153
60,39.35733730830886
61,37.69615364994153
62,37.69615364994153
63,38.8329756778952
64,39.20459156782532
65,37.69615364994153
66,38.01315561749642
67,37.64306044943742
68,37.8549864614954
69,39.0
70,35.4682957019364
71,38.2099463490856
72,35.6931365951495
73,34.48187929913333
74,31.016124838541646
75,32.57299494980466
76,32.57299494980466
77,34.48187929913333
78,35.84689665786984
79,34.539832078341085
80,35.77708763999664
81,37.12142238654117
82,36.76955262170047
83,39.0
84,37.69615364994153
85,38.600518131237564
86,37.64306044943742
87,37.64306044943742
88,39.56008088970496
89,46.87216658103186
90,70.8801805866774
91,24.698178070456937
92,22.47220505424423
93,75.0
94,72.80109889280519
95,40.80441152620633
96,39.84971769034255
97,40.80441152620633
98,41.23105625617661
99,38.600518131237564
100,38.600518131237564
101,37.64306044943742
102,38.600518131237564
103,39.56008088970496
104,40.80441152620633
105,43.08131845707603
106,41.7612260356422
107,43.01162633521314
108,43.829214001622255
109,42.15447781671598
110,41.7612260356422
111,43.18564576337837
112,41.773197148410844
113,41.7612260356422
114,41.7612260356422
115,41.7612260356422
116,41.7612260356422
117,39.92492955535426
118,40.80441152620633
119,43.08131845707603
120,43.829214001622255
121,44.721359549995796
122,44.9221548904324
123,44.9221548904324
124,44.9221548904324
125,44.9221548904324
126,44.91102314577124
127,44.9221548904324
128,45.89117562233506
129,46.2709412050371
130,43.93176527297759
131,44.9221548904324
132,49.040799340956916
133,50.00999900019995
134,49.03060268852505
135,50.00999900019995
136,50.00999900019995
137,50.99019513592785
138,50.00999900019995
139,47.853944456021594
140,47.853944456021594
141,47.265209192385896
142,47.265209192385896
143,47.265209192385896
144,46.2709412050371
145,46.2709412050371
146,46.2709412050371
147,46.2709412050371
148,45.27692569068709
149,45.27692569068709
150,45.89117562233506
151,45.27692569068709
152,47.265209192385896
153,42.190046219457976
154,45.27692569068709
155,45.27692569068709
156,41.19465984809196
157,42.190046219457976
158,42.95346318982906
159,43.18564576337837
160,43.18564576337837
161,43.965895873961216
162,42.95346318982906
163,42.190046219457976
164,42.190046219457976
165,44.181444068749045
166,43.18564576337837
167,43.18564576337837
168,43.18564576337837
169,43.18564576337837
170,40.19950248448356
171,40.792156108742276
172,41.773197148410844
173,40.19950248448356
174,42.190046219457976
175,42.190046219457976
176,40.792156108742276
177,40.792156108742276
178,40.19950248448356
179,40.19950248448356
180,41.19465984809196
181,40.792156108742276
182,40.80441152620633
183,10.44030650891055
184,11.40175425099138
185,15.524174696260024
186,115.24755962709145
187,41.19465984809196
188,42.190046219457976
189,42.190046219457976
190,40.792156108742276
191,41.19465984809196
192,41.19465984809196
193,41.773197148410844
194,43.18564576337837
195,35.6931365951495
196,37.21558813185679
197,45.89117562233506
198,123.96773773849388
199,117.64352935882194
200,47.853944456021594
201,46.2709412050371
202,46.2709412050371
203,47.265209192385896
204,47.265209192385896
205,48.25971404805462
206,42.190046219457976
207,43.18564576337837
208,43.18564576337837
209,43.18564576337837
210,43.18564576337837
211,43.18564576337837
212,46.2709412050371
213,45.27692569068709
214,43.18564576337837
215,43.18564576337837
216,44.181444068749045
217,44.181444068749045
218,41.19465984809196
219,41.19465984809196
220,41.19465984809196
221,42.190046219457976
222,43.18564576337837
223,44.91102314577124
224,43.93176527297759
225,45.27692569068709
226,45.89117562233506
227,14.317821063276353
228,49.25444142409901
229,49.25444142409901
230,49.25444142409901
231,45.17742799230607
232,49.25444142409901
233,49.25444142409901
234,49.25444142409901
235,48.25971404805462
236,49.25444142409901
237,48.25971404805462
238,48.25971404805462
239,47.265209192385896
240,47.265209192385896
241,49.25444142409901
242,47.265209192385896
243,45.89117562233506
244,45.89117562233506
245,44.91102314577124
246,16.492422502470642
247,40.792156108742276
248,40.792156108742276
249,40.19950248448356
250,40.19950248448356
251,38.63935817272331
252,37.21558813185679
253,40.19950248448356
254,41.19465984809196
255,38.2099463490856
256,41.19465984809196
257,41.19465984809196
258,40.19950248448356
259,39.20459156782532
260,39.20459156782532
261,124.04031602668546
262,21.840329667841555
263,56.22277118748239
264,53.33854141237835
265,17.08800749063506
266,34.17601498127012
267,56.568542494923804
268,46.87216658103186
269,45.89117562233506
270,45.27692569068709
271,45.27692569068709
272,45.17742799230607
273,13.601470508735444
274,42.95346318982906
275,42.720018726587654
276,43.08131845707603
277,122.0245876862528
278,43.18564576337837
279,112.58774356030055
280,76.90253571892151
281,36.76955262170047
